03608870	_hypernym	04320126
00189669	_hypernym	00187526
00155797	_hypernym	00155487
10358032	_hypernym	10026553
08686332	_instance_hypernym	08685677
10449521	_hypernym	10249459
02897692	_hypernym	03149951
10598641	_hypernym	09917593
02315048	_hypernym	02344568
07493527	_hypernym	07490713
00639007	_hypernym	00638770
04271891	_hypernym	03210940
12200747	_hypernym	11575425
02446512	_member_meronym	02446645
10540526	_hypernym	10677713
09794211	_hypernym	10677713
01751036	_hypernym	01745125
14006490	_hypernym	14006179
07410207	_derivationally_related_form	01397088
02417389	_hypernym	02554922
04935904	_hypernym	04935003
07912211	_hypernym	07911371
03831899	_hypernym	02740764
13591761	_hypernym	13582013
01316422	_hypernym	00015388
13016457	_member_meronym	13016749
05412912	_hypernym	05412649
04042358	_hypernym	03925226
02583379	_hypernym	02521410
10131590	_hypernym	10154186
11304139	_instance_hypernym	10453533
02016956	_hypernym	02016358
00068467	_hypernym	00067999
02928608	_hypernym	03323703
09998788	_hypernym	10294602
13384341	_hypernym	13384164
05986295	_hypernym	05985999
04416901	_hypernym	03178782
04469813	_hypernym	03100490
01118182	_hypernym	01117723
14155274	_hypernym	14153010
10258896	_hypernym	10197967
08811982	_has_part	08809910
00592292	_hypernym	00586262
03625943	_hypernym	03051540
12375769	_hypernym	12375518
06425960	_hypernym	06425065
11090631	_instance_hypernym	10057714
04062179	_has_part	03948950
04491388	_hypernym	03053474
14592610	_hypernym	15046900
13804669	_hypernym	13796779
01134653	_hypernym	00434374
08336188	_synset_domain_topic_of	08441203
05340317	_hypernym	05333777
09396712	_instance_hypernym	09342563
07430480	_hypernym	07430211
15285772	_hypernym	15277118
12402348	_hypernym	12401335
07780874	_hypernym	07780627
04810510	_hypernym	04785669
00514730	_hypernym	00126264
07692614	_hypernym	07680932
10356066	_hypernym	10640620
02452637	_hypernym	05598147
08900535	_has_part	08905467
10941206	_instance_hypernym	10450303
10282672	_hypernym	10024119
00586682	_hypernym	00429060
02924554	_hypernym	02958343
14088412	_hypernym	14081941
07873807	_hypernym	07557434
07708512	_hypernym	07581346
13507827	_hypernym	13489037
02223136	_hypernym	02222318
10519291	_hypernym	10518602
00159553	_hypernym	02304982
05656997	_hypernym	05654362
11069534	_instance_hypernym	09855630
05958919	_hypernym	05943300
00608670	_hypernym	00728617
10113249	_hypernym	10434424
01306425	_hypernym	00220869
10490965	_hypernym	00007846
10970864	_instance_hypernym	10467395
00216607	_hypernym	00216174
13555915	_hypernym	13518963
11269697	_instance_hypernym	10467395
07136711	_hypernym	07135734
13415547	_hypernym	05728678
04045787	_hypernym	03387016
06567143	_hypernym	06566077
00137791	_hypernym	00137313
13146740	_hypernym	13145444
08687345	_instance_hypernym	08685677
10048836	_hypernym	10372373
15091129	_hypernym	15090742
